top 10,Empire Strikes Back,No country for old men,Grand Budapest hotel,Blade Runner Final Cut,The Thing(Shlong),Crusaders of the lost ark,LOTR Trilogy,Through Hell or high water,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama,Laurence of Arabia,Fight club,The big short,Wolf of Wall Street,Once upon a time in Hollywood,Shutter island,Parasite,Memento,Good Will Hunting,A marriage story,Citizen Kane,Schindler's list,A marriage story,Whiplash,The prestige,Lord of war,The manchurian candidate,Green mile,Shawshank redemption,Silence,Uncut Gems,Children of men,Manchurian candidate,The Handmaiden,The lighthouse,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime/Mystery,Pulp fiction,Seven,The Irishman,The Godfather,Scarface,The usual suspects,Prisoners,The Departed,Bad times at el royal,Grand budapest hotel,Reservoir dogs,Fargo,Jackie brown,Baby driver,The gentlemen,Snatch,Drive,Casino,Training day,Masterminds,Uncut gems,Nice guys,Zodiac,City of god,The girl with the dragon tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action/Adventure,Casino Royale James Bond (Daniel Craig),Skyfall James Bond,Leon: The Professional,Inglorious bastards,Django unchained,Lord of the rings,Crusaders of the lost ark,Indiana jones and the last crusade,V for vendetta,dark knight,Terminator 1 and 2,Predator,John wick,Mad max fury road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War,Platoon,Apocalypse now,The great escape,1917,Dunkirk,Saving Private Ryan,Hacksaw ridge,Black hawk down,Laurence of Arabia,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci-fi,Star Wars,2001 a space odyssey,Blade Runner Final Cut,Annihilation,The arrival,Jurassic park,District 9,The martian,The Thing (1982),Alien,Aliens,Edge of tomorrow,Men in black,Tenet,Ghostbusters,Total recall,Predator,Terminator 1 and 2,Avatar,The matrix,12 monkeys,Interstellar,Inception,The thing,Looper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horror,The Thing (1982),Alien,Aliens,Halloween,The shining,Bram Stoker’s Dracula,Midsommar,The silence of the lambs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comedy,Monty python's the holy grail,National Lampoon's Christmas Vacation,The blues Brothers,Burn after reading,The big lebowski,Anything monty python,Raising Arizona,Hot fuzz,Talladega nights,The life of brian,Raising Arizona,Jojo rabbit,Throw mama from the train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westerns,A fistful of dollars,For a couple dollars more,The good the bad the ugly,No country for old men,Through hell or high water,Hateful 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Arts,Ip Man,Kill Bill 1 and 2 (1 is better),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy movies,Casino Royale,Skyfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Hero,Logan,Iron Man,Guardians of the galaxy 1 and 2,Infinity war / endgame,Dark knight,Thor ragnarock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To watch,The social network,Raging bull **,GlenGary Glen Ross **,Casablanca,12 angry men,Chinatown,Ben hur,The exorcist,Animal house,Caddy shack,Napoleon Dynamite,Book smart,Rambo,One flew over the cuckoo's nest,Field of dreams,Dr. Strangelove,Andrew Shultz,It’s a wonderful life,Bird mad,The master,The anchorman,Dr. No James bond,Goldeneye James Bond,Goodfellas ***,Greatest events of ww2 in colour,Silent hill,Life,Shaun of the dead,The world's end,Death Proof,Godfather 2 and 3,Studio Ghibli,Silent voice,Super bad,There will be blood,I am legend,Devil man cry baby (show),Full metal jacket,Apocalypse now,Taxi driver **,Blood simple,The Pianist,Lone Survivor,The Deer Hunter,Gladiator,"Oldboy (The 2003 one. Do not, I repeat, DO NOT WATCH THE 2013 SPIKE LEE VERSION. Also you should probably watch this subbed rather than dubbed)",Silver lining playbook,American psycho,47 ronin,Masterminds,Brave heart,Come and see,Source code,Catch me if you can,Few good men,The capture,Calibre,Do the right thing,Outlaw Joseph whales,The natural,Bull duram,Slap shot,Cape fear,North by northwest,,Hamburger hill
top 10,Empire Strikes Back,No country for old men,Grand Budapest hotel,Blade Runner Final Cut,The Thing(Shlong),Crusaders of the lost ark,LOTR Trilogy,Through Hell or high water,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama,Laurence of Arabia,Fight club,The big short,Wolf of Wall Street,Once upon a time in Hollywood,Shutter island,Parasite,Memento,Good Will Hunting,A marriage story,Citizen Kane,Schindler's list,A marriage story,Whiplash,The prestige,Lord of war,The manchurian candidate,Green mile,Shawshank redemption,Silence,Uncut Gems,Children of men,Manchurian candidate,The Handmaiden,The lighthouse,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime/Mystery,Pulp fiction,Seven,The Irishman,The Godfather,Scarface,The usual suspects,Prisoners,The Departed,Bad times at el royal,Grand budapest hotel,Reservoir dogs,Fargo,Jackie brown,Baby driver,The gentlemen,Snatch,Drive,Casino,Training day,Masterminds,Uncut gems,Nice guys,Zodiac,City of god,The girl with the dragon tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action/Adventure,Casino Royale James Bond (Daniel Craig),Skyfall James Bond,Leon: The Professional,Inglorious bastards,Django unchained,Lord of the rings,Crusaders of the lost ark,Indiana jones and the last crusade,V for vendetta,dark knight,Terminator 1 and 2,Predator,John wick,Mad max fury road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War,Platoon,Apocalypse now,The great escape,1917,Dunkirk,Saving Private Ryan,Hacksaw ridge,Black hawk down,Laurence of Arabia,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci-fi,Star Wars,2001 a space odyssey,Blade Runner Final Cut,Annihilation,The arrival,Jurassic park,District 9,The martian,The Thing (1982),Alien,Aliens,Edge of tomorrow,Men in black,Tenet,Ghostbusters,Total recall,Predator,Terminator 1 and 2,Avatar,The matrix,12 monkeys,Interstellar,Inception,The thing,Looper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horror,The Thing (1982),Alien,Aliens,Halloween,The shining,Bram Stoker’s Dracula,Midsommar,The silence of the lambs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comedy,Monty python's the holy grail,National Lampoon's Christmas Vacation,The blues Brothers,Burn after reading,The big lebowski,Anything monty python,Raising Arizona,Hot fuzz,Talladega nights,The life of brian,Raising Arizona,Jojo rabbit,Throw mama from the train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westerns,A fistful of dollars,For a couple dollars more,The good the bad the ugly,No country for old men,Through hell or high water,Hateful 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Arts,Ip Man,Kill Bill 1 and 2 (1 is better),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy movies,Casino Royale,Skyfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Hero,Logan,Iron Man,Guardians of the galaxy 1 and 2,Infinity war / endgame,Dark knight,Thor ragnarock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To watch,The social network,Raging bull **,GlenGary Glen Ross **,Casablanca,12 angry men,Chinatown,Ben hur,The exorcist,Animal house,Caddy shack,Napoleon Dynamite,Book smart,Rambo,One flew over the cuckoo's nest,Field of dreams,Dr. Strangelove,Andrew Shultz,It’s a wonderful life,Bird mad,The master,The anchorman,Dr. No James bond,Goldeneye James Bond,Goodfellas ***,Greatest events of ww2 in colour,Silent hill,Life,Shaun of the dead,The world's end,Death Proof,Godfather 2 and 3,Studio Ghibli,Silent voice,Super bad,There will be blood,I am legend,Devil man cry baby (show),Full metal jacket,Apocalypse now,Taxi driver **,Blood simple,The Pianist,Lone Survivor,The Deer Hunter,Gladiator,"Oldboy (The 2003 one. Do not, I repeat, DO NOT WATCH THE 2013 SPIKE LEE VERSION. Also you should probably watch this subbed rather than dubbed)",Silver lining playbook,American psycho,47 ronin,Masterminds,Brave heart,Come and see,Source code,Catch me if you can,Few good men,The capture,Calibre,Do the right thing,Outlaw Joseph whales,The natural,Bull duram,Slap shot,Cape fear,North by northwest,,Hamburger hill
top 10,Empire Strikes Back,No country for old men,Grand Budapest hotel,Blade Runner Final Cut,The Thing(Shlong),Crusaders of the lost ark,LOTR Trilogy,Through Hell or high water,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama,Laurence of Arabia,Fight club,The big short,Wolf of Wall Street,Once upon a time in Hollywood,Shutter island,Parasite,Memento,Good Will Hunting,A marriage story,Citizen Kane,Schindler's list,A marriage story,Whiplash,The prestige,Lord of war,The manchurian candidate,Green mile,Shawshank redemption,Silence,Uncut Gems,Children of men,Manchurian candidate,The Handmaiden,The lighthouse,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime/Mystery,Pulp fiction,Seven,The Irishman,The Godfather,Scarface,The usual suspects,Prisoners,The Departed,Bad times at el royal,Grand budapest hotel,Reservoir dogs,Fargo,Jackie brown,Baby driver,The gentlemen,Snatch,Drive,Casino,Training day,Masterminds,Uncut gems,Nice guys,Zodiac,City of god,The girl with the dragon tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action/Adventure,Casino Royale James Bond (Daniel Craig),Skyfall James Bond,Leon: The Professional,Inglorious bastards,Django unchained,Lord of the rings,Crusaders of the lost ark,Indiana jones and the last crusade,V for vendetta,dark knight,Terminator 1 and 2,Predator,John wick,Mad max fury road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War,Platoon,Apocalypse now,The great escape,1917,Dunkirk,Saving Private Ryan,Hacksaw ridge,Black hawk down,Laurence of Arabia,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci-fi,Star Wars,2001 a space odyssey,Blade Runner Final Cut,Annihilation,The arrival,Jurassic park,District 9,The martian,The Thing (1982),Alien,Aliens,Edge of tomorrow,Men in black,Tenet,Ghostbusters,Total recall,Predator,Terminator 1 and 2,Avatar,The matrix,12 monkeys,Interstellar,Inception,The thing,Looper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horror,The Thing (1982),Alien,Aliens,Halloween,The shining,Bram Stoker’s Dracula,Midsommar,The silence of the lambs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comedy,Monty python's the holy grail,National Lampoon's Christmas Vacation,The blues Brothers,Burn after reading,The big lebowski,Anything monty python,Raising Arizona,Hot fuzz,Talladega nights,The life of brian,Raising Arizona,Jojo rabbit,Throw mama from the train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westerns,A fistful of dollars,For a couple dollars more,The good the bad the ugly,No country for old men,Through hell or high water,Hateful 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Arts,Ip Man,Kill Bill 1 and 2 (1 is better),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy movies,Casino Royale,Skyfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Hero,Logan,Iron Man,Guardians of the galaxy 1 and 2,Infinity war / endgame,Dark knight,Thor ragnarock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To watch,The social network,Raging bull **,GlenGary Glen Ross **,Casablanca,12 angry men,Chinatown,Ben hur,The exorcist,Animal house,Caddy shack,Napoleon Dynamite,Book smart,Rambo,One flew over the cuckoo's nest,Field of dreams,Dr. Strangelove,Andrew Shultz,It’s a wonderful life,Bird mad,The master,The anchorman,Dr. No James bond,Goldeneye James Bond,Goodfellas ***,Greatest events of ww2 in colour,Silent hill,Life,Shaun of the dead,The world's end,Death Proof,Godfather 2 and 3,Studio Ghibli,Silent voice,Super bad,There will be blood,I am legend,Devil man cry baby (show),Full metal jacket,Apocalypse now,Taxi driver **,Blood simple,The Pianist,Lone Survivor,The Deer Hunter,Gladiator,"Oldboy (The 2003 one. Do not, I repeat, DO NOT WATCH THE 2013 SPIKE LEE VERSION. Also you should probably watch this subbed rather than dubbed)",Silver lining playbook,American psycho,47 ronin,Masterminds,Brave heart,Come and see,Source code,Catch me if you can,Few good men,The capture,Calibre,Do the right thing,Outlaw Joseph whales,The natural,Bull duram,Slap shot,Cape fear,North by northwest,,Hamburger hill
top 10,Empire Strikes Back,No country for old men,Grand Budapest hotel,Blade Runner Final Cut,The Thing(Shlong),Crusaders of the lost ark,LOTR Trilogy,Through Hell or high water,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama,Laurence of Arabia,Fight club,The big short,Wolf of Wall Street,Once upon a time in Hollywood,Shutter island,Parasite,Memento,Good Will Hunting,A marriage story,Citizen Kane,Schindler's list,A marriage story,Whiplash,The prestige,Lord of war,The manchurian candidate,Green mile,Shawshank redemption,Silence,Uncut Gems,Children of men,Manchurian candidate,The Handmaiden,The lighthouse,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime/Mystery,Pulp fiction,Seven,The Irishman,The Godfather,Scarface,The usual suspects,Prisoners,The Departed,Bad times at el royal,Grand budapest hotel,Reservoir dogs,Fargo,Jackie brown,Baby driver,The gentlemen,Snatch,Drive,Casino,Training day,Masterminds,Uncut gems,Nice guys,Zodiac,City of god,The girl with the dragon tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action/Adventure,Casino Royale James Bond (Daniel Craig),Skyfall James Bond,Leon: The Professional,Inglorious bastards,Django unchained,Lord of the rings,Crusaders of the lost ark,Indiana jones and the last crusade,V for vendetta,dark knight,Terminator 1 and 2,Predator,John wick,Mad max fury road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War,Platoon,Apocalypse now,The great escape,1917,Dunkirk,Saving Private Ryan,Hacksaw ridge,Black hawk down,Laurence of Arabia,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci-fi,Star Wars,2001 a space odyssey,Blade Runner Final Cut,Annihilation,The arrival,Jurassic park,District 9,The martian,The Thing (1982),Alien,Aliens,Edge of tomorrow,Men in black,Tenet,Ghostbusters,Total recall,Predator,Terminator 1 and 2,Avatar,The matrix,12 monkeys,Interstellar,Inception,The thing,Looper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horror,The Thing (1982),Alien,Aliens,Halloween,The shining,Bram Stoker’s Dracula,Midsommar,The silence of the lambs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comedy,Monty python's the holy grail,National Lampoon's Christmas Vacation,The blues Brothers,Burn after reading,The big lebowski,Anything monty python,Raising Arizona,Hot fuzz,Talladega nights,The life of brian,Raising Arizona,Jojo rabbit,Throw mama from the train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westerns,A fistful of dollars,For a couple dollars more,The good the bad the ugly,No country for old men,Through hell or high water,Hateful 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Arts,Ip Man,Kill Bill 1 and 2 (1 is better),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy movies,Casino Royale,Skyfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Hero,Logan,Iron Man,Guardians of the galaxy 1 and 2,Infinity war / endgame,Dark knight,Thor ragnarock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To watch,The social network,Raging bull **,GlenGary Glen Ross **,Casablanca,12 angry men,Chinatown,Ben hur,The exorcist,Animal house,Caddy shack,Napoleon Dynamite,Book smart,Rambo,One flew over the cuckoo's nest,Field of dreams,Dr. Strangelove,Andrew Shultz,It’s a wonderful life,Bird mad,The master,The anchorman,Dr. No James bond,Goldeneye James Bond,Goodfellas ***,Greatest events of ww2 in colour,Silent hill,Life,Shaun of the dead,The world's end,Death Proof,Godfather 2 and 3,Studio Ghibli,Silent voice,Super bad,There will be blood,I am legend,Devil man cry baby (show),Full metal jacket,Apocalypse now,Taxi driver **,Blood simple,The Pianist,Lone Survivor,The Deer Hunter,Gladiator,"Oldboy (The 2003 one. Do not, I repeat, DO NOT WATCH THE 2013 SPIKE LEE VERSION. Also you should probably watch this subbed rather than dubbed)",Silver lining playbook,American psycho,47 ronin,Masterminds,Brave heart,Come and see,Source code,Catch me if you can,Few good men,The capture,Calibre,Do the right thing,Outlaw Joseph whales,The natural,Bull duram,Slap shot,Cape fear,North by northwest,,Hamburger hill
top 10,Empire Strikes Back,No country for old men,Grand Budapest hotel,Blade Runner Final Cut,The Thing(Shlong),Crusaders of the lost ark,LOTR Trilogy,Through Hell or high water,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama,Laurence of Arabia,Fight club,The big short,Wolf of Wall Street,Once upon a time in Hollywood,Shutter island,Parasite,Memento,Good Will Hunting,A marriage story,Citizen Kane,Schindler's list,A marriage story,Whiplash,The prestige,Lord of war,The manchurian candidate,Green mile,Shawshank redemption,Silence,Uncut Gems,Children of men,Manchurian candidate,The Handmaiden,The lighthouse,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crime/Mystery,Pulp fiction,Seven,The Irishman,The Godfather,Scarface,The usual suspects,Prisoners,The Departed,Bad times at el royal,Grand budapest hotel,Reservoir dogs,Fargo,Jackie brown,Baby driver,The gentlemen,Snatch,Drive,Casino,Training day,Masterminds,Uncut gems,Nice guys,Zodiac,City of god,The girl with the dragon tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action/Adventure,Casino Royale James Bond (Daniel Craig),Skyfall James Bond,Leon: The Professional,Inglorious bastards,Django unchained,Lord of the rings,Crusaders of the lost ark,Indiana jones and the last crusade,V for vendetta,dark knight,Terminator 1 and 2,Predator,John wick,Mad max fury road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War,Platoon,Apocalypse now,The great escape,1917,Dunkirk,Saving Private Ryan,Hacksaw ridge,Black hawk down,Laurence of Arabia,Ran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sci-fi,Star Wars,2001 a space odyssey,Blade Runner Final Cut,Annihilation,The arrival,Jurassic park,District 9,The martian,The Thing (1982),Alien,Aliens,Edge of tomorrow,Men in black,Tenet,Ghostbusters,Total recall,Predator,Terminator 1 and 2,Avatar,The matrix,12 monkeys,Interstellar,Inception,The thing,Looper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horror,The Thing (1982),Alien,Aliens,Halloween,The shining,Bram Stoker’s Dracula,Midsommar,The silence of the lambs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comedy,Monty python's the holy grail,National Lampoon's Christmas Vacation,The blues Brothers,Burn after reading,The big lebowski,Anything monty python,Raising Arizona,Hot fuzz,Talladega nights,The life of brian,Raising Arizona,Jojo rabbit,Throw mama from the train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westerns,A fistful of dollars,For a couple dollars more,The good the bad the ugly,No country for old men,Through hell or high water,Hateful 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Arts,Ip Man,Kill Bill 1 and 2 (1 is better),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy movies,Casino Royale,Skyfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Hero,Logan,Iron Man,Guardians of the galaxy 1 and 2,Infinity war / endgame,Dark knight,Thor ragnarock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To watch,The social network,Raging bull **,GlenGary Glen Ross **,Casablanca,12 angry men,Chinatown,Ben hur,The exorcist,Animal house,Caddy shack,Napoleon Dynamite,Book smart,Rambo,One flew over the cuckoo's nest,Field of dreams,Dr. Strangelove,Andrew Shultz,It’s a wonderful life,Bird mad,The master,The anchorman,Dr. No James bond,Goldeneye James Bond,Goodfellas ***,Greatest events of ww2 in colour,Silent hill,Life,Shaun of the dead,The world's end,Death Proof,Godfather 2 and 3,Studio Ghibli,Silent voice,Super bad,There will be blood,I am legend,Devil man cry baby (show),Full metal jacket,Apocalypse now,Taxi driver **,Blood simple,The Pianist,Lone Survivor,The Deer Hunter,Gladiator,"Oldboy (The 2003 one. Do not, I repeat, DO NOT WATCH THE 2013 SPIKE LEE VERSION. Also you should probably watch this subbed rather than dubbed)",Silver lining playbook,American psycho,47 ronin,Masterminds,Brave heart,Come and see,Source code,Catch me if you can,Few good men,The capture,Calibre,Do the right thing,Outlaw Joseph whales,The natural,Bull duram,Slap shot,Cape fear,North by northwest,,Hamburger hill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Hamburger hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,